name,batch,stage,fit,one_liner,intern_roles,open_roles,challenge_type,challenge,challenge_url,website,yc_url,who_they_hire,talking_points
EffiGov,S25,Seed,high,The AI OS for Cities,Software Engineer Intern (Fall 2026),Founding Engineer,none,,,https://effigov.com/,https://www.ycombinator.com/companies/effigov,Tiny founding team (~3) looking for a Fall 2026 SWE intern ($5–7k/mo) and a Founding Engineer who can ship voice agents against messy govtech CRMs.,"Ask how the 311 voice agent files tickets into Munis/Accela/Tyler instead of just chatting. | Fall intern is paid $5–7k/mo — treat it as a founding-adjacent seat, not a generic SWE intern. | Lead with any voice-agent, telephony, or civic/govtech project; they care about reliability on real city lines."
Terranox AI,W26,Seed,high,The first AI-powered uranium discovery company,Fall Intern - AI/ML Engineering | Summer Intern - Applied Science MSc/PhD,AI/ML Engineer | Founding ML Engineer,none,,,https://terranox.ai/,https://www.ycombinator.com/companies/terranox-ai,"AI/ML engineers, Fall AI/ML interns, and a Summer applied-science intern aimed at MSc/PhD talent; founding ML is also in play.","Best fit if you can talk geoscience, remote sensing, or multimodal scientific ML — not generic LLM wrappers. | Ask how they score prospectivity and choose the next drill vs. just producing heatmaps. | Summer applied-science seat is explicitly MSc/PhD; Fall intern is the undergrad/ML engineering path."
Socratix AI,S25,Seed,medium,AI coworkers for fraud and compliance teams.,,"Member of Technical Staff, AI Agents",none,,,https://getsocratix.ai/,https://www.ycombinator.com/companies/socratix-ai,"Member of Technical Staff, AI Agents. Intern listing may 404; treat this as a full-time/new-grad agent-systems conversation unless they confirm internships at the booth.","Intern posting may be dead — ask in person whether they will take a fall/summer intern at all. | Talk evals, false-positive reduction, and agent tool-use over 'we built a chatbot.' | Founders lived alert queues at DoorDash/Unit21; ask what a good investigation trace looks like."
Parrot,F25,Seed,medium,TikTok for language learning,,Founding Mobile Engineer,apply_with_artifact,Record a 60-second Loom and email it to founders@parrotapp.com.,mailto:founders@parrotapp.com,https://parrotapp.com/,https://www.ycombinator.com/companies/parrot,"Founding Mobile Engineer. Consumer/mobile product seat, not a research lab.",Do the 60s Loom before or right after the booth — that is the actual application. | Mobile/React Native + consumer growth stories land; generic backend AI pitches will feel off. | Ask how they sequence comprehensible-input videos vs. just wrapping TikTok.
Prox,F25,Seed,high,AI technical support for complex physical products,,Founding Engineer at Prox | Forward-Deployed Engineer | Founding GTM Engineer,public_challenge,"Clone the public welder-agent challenge repo, get it working, and submit at useprox.com/join.",https://useprox.com/join,https://useprox.com/,https://www.ycombinator.com/companies/prox,"Founding Engineer, Forward-Deployed Engineer, and Founding GTM Engineer. Strong intern/new-grad path if you complete the public challenge.","Do the GitHub welder-agent challenge before the expo if you can — that is the filter. | Bring a multimodal/tool-using agent story (PDFs, diagrams, hardware), not a generic RAG demo. | FDE and founding eng are both open; say whether you want customer-facing deploy work or core agent runtime."
GiveCampus,S15,Growth,low,The fundraising platform for schools.,,Full Stack Engineer | Senior Engineering Manager,none,,,https://givecampus.com/,https://www.ycombinator.com/companies/givecampus,Full Stack Engineer (3+ years) and Senior Engineering Manager. No intern role posted.,"No intern listing — only worth a stop if you have 3+ years or want EM/full-stack at a growth company. | DC-rooted, ~130 people; expect a real hiring bar, not a founding-intern pitch. | Skip if you are optimizing for AI-agent seed internships."
Koyal,F25,Seed,medium,Agentic AI Filmmaking Platform,,Founding Engineer @Koyal,none,,,https://koyal.ai/,https://www.ycombinator.com/companies/koyal,"Founding Engineer. Generative-video / agentic media systems, not a generic fullstack intern posting.","Lead with video gen, lip-sync, character consistency, or agentic creative tools. | Ask about CHARCHA (consent/captcha for likeness) if you have identity or safety angles. | Founding Engineer is the open seat — internships are not listed."
AfterQuery,W25,Seed,high,Applied research lab curating data solutions for foundation model development,Software Engineer Intern | Strategic Intern,"Software Engineer - Hiring Infra (LatAM) | Senior Software Engineer, Infrastructure & Platform | Technical Strategic Projects Lead",interview_takehome,Interview take-home (not a public bounty). Expect a work-sample after you apply.,,https://www.afterquery.com/,https://www.ycombinator.com/companies/afterquery,SWE intern plus a strategic/technical intern track; also hiring infra SWE (LatAm) and senior infra/platform. Interview includes a take-home.,"Say you want to build data/eval infra for frontier labs, not a consumer app. | Ask what the intern take-home looks like and how strategic intern differs from SWE intern. | Name a domain where you can actually label or eval expert work (code, math, science, finance)."
Variance,W23,Series A,medium,AI Agents for Fraud Review and Investigations,,"Research Engineer, Judgment Systems | Research Engineer, Evals | Senior Software Engineer",none,,,https://variance.com/,https://www.ycombinator.com/companies/variance,"Research Engineer (Judgment Systems), Research Engineer (Evals), and Senior SWE. No intern listing.",No intern posting — only pitch if you have evals/judgment-systems depth or senior SWE chops. | Ask how they measure investigation quality vs. raw automation rate. | Lower priority than seed intern booths unless research-evals is your exact lane.
Weave,W25,Series A,high,AI to understand and then route engineering work,Product Engineer Intern,Founding ML Engineer | Founding Product Engineer,interview_takehome,Interview take-home followed by a paid work trial. Not a public GitHub bounty.,,https://workweave.dev/,https://www.ycombinator.com/companies/weave-3,Product Engineer Intern plus founding ML/product engineer seats. Process is interview take-home plus a work trial.,"Product Engineer Intern is the intern seat — talk PR attribution, evals, and developer tools. | Ask what a Weave Hour means and how they separate AI-written code from human code. | Be ready for a take-home + work trial, not a handshake offer at the booth."
